Municipio,Departamento,Aval Partidos 2011
Villanueva,Santander,Firmas
San Gil,Santander,Firmas
Curití,Santander,Firmas
Guavatá,Santander,Firmas
Matanza,Santander,Firmas
Los Santos,Santander,Firmas
Suratá,Santander,Firmas
Girón,Santander,Firmas
San Joaquín,Santander,PC
Floridablanca,Santander,PC
Albania,Santander,PC
Bolívar,Santander,PC
Macaravita,Santander,PC
Mogotes,Santander,PC
Palmas del Socorro,Santander,PC
Guapotá,Santander,PC
Jesús María,Santander,PC
Aguada,Santander,PC
Capitanejo,Santander,PC
Jordán,Santander,PC
La Belleza,Santander,PC
Ocamonte,Santander,PC
Molagavita,Santander,PIN
Puerto Parra,Santander,PIN
Santa Bárbara,Santander,PIN
Cepitá,Santander,PIN
San Andrés,Santander,PIN
Pinchote,Santander,PIN
Puerto Wilches,Santander,PIN
San José de Miranda,Santander,PIN
Páramo,Santander,PL
Bucaramanga,Santander,PL
Socorro,Santander,PL
Confines,Santander,PL
Guaca,Santander,PL
Güepsa,Santander,PL
Palmar,Santander,PL
Tona,Santander,PL
Valle de San José,Santander,PL
Carcasí,Santander,PL
Cimitarra,Santander,PL
Encino,Santander,PL
Suaita,Santander,PL
California,Santander,U
Concepción,Santander,U
El Playón,Santander,U
San Vicente de Chucurí,Santander,U
Guadalupe,Santander,U
San Miguel,Santander,U
Contratación,Santander,U
Barbosa,Santander,U
Sucre,Santander,U
Coromoro,Santander,U
Oiba,Santander,U
Vélez,Santander,U
Charalá,Santander,U
El Carmen de Chucurí,Santander,U
Enciso,Santander,U
Lebrija,Santander,U
Onzaga,Santander,U
Santa Helena del Opón,Santander,U
Simacota,Santander,U
Sucre,Sucre,Afrovides
Coveñas,Sucre,Afrovides
San Juan de Betulia (Betulia),Sucre,Afrovides
Tolú,Sucre,Afrovides
El Roble,Sucre,CR
Caimito ,Sucre,CR
Chalan,Sucre,CR
Palmito,Sucre,CR
San Marcos,Sucre,CR
Morroa,Sucre,Firmas
San Onofre,Sucre,PC
Buenavista,Sucre,PC
Sincé,Sucre,PC
Coloso(Ricaurte),Sucre,PC
Galeras(Nueva Granada),Sucre,PIN
La Unión,Sucre,PIN
San Pedro,Sucre,PIN
Corozal,Sucre,PL
Toluviejo,Sucre,PL
Guaranda,Sucre,U
Los Palmitos,Sucre,U
Majagual,Sucre,U
Ovejas,Sucre,U
San Benito Abad,Sucre,U
Sincelejo,Sucre,U
Sampues,Sucre,U
Fresno,Tolima,Afrovides
Valle De San Juan,Tolima,Aico
Coyaima,Tolima,ASI
Ataco,Tolima,CR
Ambalema,Tolima,CR
Espinal,Tolima,CR
Honda,Tolima,CR
Lerida,Tolima,CR
Rovira,Tolima,CR
Armero(Guayabal),Tolima,CR
Carmen De Apicalá,Tolima,CR
Piedras,Tolima,CR
Venadillo,Tolima,CR
Prado,Tolima,CR
Suarez,Tolima,Firmas
Libano,Tolima,MIO
Rioblanco ,Tolima,MIO
Coello,Tolima,MIO
Guamo,Tolima,PC
Alpujarra,Tolima,PC
Herveo,Tolima,PC
Murillo,Tolima,PC
Saldaña,Tolima,PC
San Antonio,Tolima,PC
Santa Isabel,Tolima,PC
Villahermosa,Tolima,PC
Casabianca,Tolima,PC
Flandes,Tolima,PC
Roncesvalles,Tolima,PL
Ibague,Tolima,PL
Planadas,Tolima,PL
Ortega,Tolima,PL
Alvarado,Tolima,PL
Chaparral,Tolima,PL
Falan,Tolima,PL
Natagaima,Tolima,PL
Cajamarca,Tolima,PL
Dolores,Tolima,PL
Cunday,Tolima,U
Icononzo,Tolima,U
Mariquita,Tolima,U
Anzoategui,Tolima,U
Palocabildo,Tolima,U
Purificación,Tolima,U
San Luis,Tolima,U
Villarrica,Tolima,U
Melgar,Tolima,U
Bugalagrande,Valle del Cauca,Aico
Florida,Valle del Cauca,Aico
Trujillo,Valle del Cauca,ASI
Argelia,Valle del Cauca,AV
Yumbo,Valle del Cauca,AV
Pradera,Valle del Cauca,CR
Ginebra,Valle del Cauca,CR
Cali ,Valle del Cauca,Firmas
Roldanillo,Valle del Cauca,Firmas
Candelaria,Valle del Cauca,Firmas
Obando,Valle del Cauca,Firmas
Restrepo,Valle del Cauca,Firmas
Zarzal,Valle del Cauca,Firmas
Andalucia,Valle del Cauca,MIO
Dagua ,Valle del Cauca,MIO
Sevilla,Valle del Cauca,MIO
El Cairo,Valle del Cauca,MIO
La Unión,Valle del Cauca,PC
Toro,Valle del Cauca,PC
Riofrio,Valle del Cauca,PC
Caicedonia,Valle del Cauca,PC
Vijes,Valle del Cauca,PC
Ansermanuevo,Valle del Cauca,PC
El Aguila,Valle del Cauca,PC
Versalles,Valle del Cauca,PC
La Victoria ,Valle del Cauca,PIN
Bolivar,Valle del Cauca,PIN
Cartago,Valle del Cauca,PL
Buenaventura,Valle del Cauca,PL
Calima(Darien),Valle del Cauca,PL
Buga,Valle del Cauca,U
Tulua,Valle del Cauca,U
El Dovio,Valle del Cauca,U
La Cumbre,Valle del Cauca,U
El Cerrito ,Valle del Cauca,U
Guacarí,Valle del Cauca,U
San Pedro,Valle del Cauca,U
Ulloa,Valle del Cauca,U
Alcalá,Valle del Cauca,U
Jamundí,Valle del Cauca,U
Palmira,Valle del Cauca,U
Yotoco,Valle del Cauca,U
Restrepo,Valle del Cauca,Firmas
Obando,Valle del Cauca,Firmas
Taraira,Vaupés,CR
Caruru,Vaupés,MIO
Mitu,Vaupés,PIN
Cumaribo,Vichada,ASI
Puerto Carreño ,Vichada,CR
Santa Rosalia,Vichada,CR
La Primavera ,Vichada,MIO
