Municipio,Departamento,Primer aval 2011,Primer aval 2015
Ancuya,Nariño,CR,U
Cumbitara,Nariño,CR,U
Policarpa,Nariño,CR,U
El tablon,Nariño,Firmas,ASI
Guaitarilla,Nariño,Firmas,PC
Sapuyes,Nariño,Firmas,CR
Belen,Nariño,Firmas,U
Linares,Nariño,Firmas,AV
Tumaco,Nariño,Firmas,PL
Colon(genova),Nariño,Firmas,CR
Tuquerres,Nariño,Firmas,U
Santa Bárbara (Iscuandé),Nariño,MIO,PL
Cuaspud,Nariño,PC,Aico
Gualmatan,Nariño,PC,CR
La florida,Nariño,PC,CR
Yacuanquer,Nariño,PC,CR
Francisco Pizarro (Salahonda),Nariño,PC,PL
Imues,Nariño,PC,U
Puerres,Nariño,PC,U
Pupiales,Nariño,PC,U
Tangua,Nariño,PC,U
Consaca,Nariño,PDA,CR
Samaniego,Nariño,PIN,ASI
Magui,Nariño,PL,AV
Nariño,Nariño,PL,CR
Ipiales,Nariño,PL,Mais
Chachagui,Nariño,PL,PC
Cordoba,Nariño,PL,PC
La llanada,Nariño,PL,PC
Sandona,Nariño,PL,PC
Taminango,Nariño,PL,PC
Ospina,Nariño,PL,PL
Iles,Nariño,U,ASI
San pedro de cartago,Nariño,U,ASI
Funes,Nariño,U,AV
Buesaco,Nariño,U,PC
El tambo,Nariño,U,PC
Mosquera,Nariño,U,PC
Potosi,Nariño,U,PDA
La cruz,Nariño,U,PL
San bernardo,Nariño,U,PL
El peñol,Nariño,U,U
Providencia,Nariño,U,U
Puerto Santander,Norte de Santander,Afrovides,PC
Ocaña,Norte de Santander,Aico,PC
El Tarra,Norte de Santander,Aico,PDA
Teorama,Norte de Santander,ASI,Aico
Hacari,Norte de Santander,ASI,Mais
Ragonvalia,Norte de Santander,ASI,PC
Durania,Norte de Santander,AV,CR
Cúcuta,Norte de Santander,AV,OC
Bucarasica,Norte de Santander,AV,PC
Abrego,Norte de Santander,AV,U
Chinácota,Norte de Santander,AV,U
Tibú,Norte de Santander,CR,ASI
Arboledas,Norte de Santander,CR,CD
Toledo,Norte de Santander,CR,CR
Cáchira,Norte de Santander,CR,OC
Convención,Norte de Santander,CR,PC
Gramalote,Norte de Santander,CR,PC
Cácota,Norte de Santander,CR,PL
El Zulia,Norte de Santander,CR,U
Los Patios,Norte de Santander,Firmas,U
Villacaro,Norte de Santander,PC,Aico
Pamplona,Norte de Santander,PC,CD
Herrán,Norte de Santander,PC,Firmas
Mutiscua,Norte de Santander,PC,OC
La Esperanza,Norte de Santander,PC,PC
La Playa,Norte de Santander,PC,PC
Pamplonita,Norte de Santander,PC,PC
Sardinata,Norte de Santander,PC,PC
Lourdes,Norte de Santander,PC,U
San Calixto,Norte de Santander,PDA,AV
Bochalema,Norte de Santander,PL,U
San Cayetano,Norte de Santander,PL,U
Silos,Norte de Santander,U,OC
Villa del Rosario,Norte de Santander,U,OC
Santiago,Norte de Santander,U,PC
El Carmen,Norte de Santander,U,PL
Chitagá,Norte de Santander,U,U
Cucutilla,Norte de Santander,U,U
Labateca,Norte de Santander,U,U
Salazar,Norte de Santander,U,U
Puerto Guzmán,Putumayo,Afrovides,AV
Valle del Guamuez,Putumayo,Aico,AV
Puerto Leguízamo,Putumayo,Aico,Mais
San Miguel,Putumayo,ASI,AV
Puerto Caycedo,Putumayo,AV,PL
Mocoa,Putumayo,PC,AV
Puerto Asís,Putumayo,PC,PL
San Francisco,Putumayo,PC,PL
Villagarzón,Putumayo,PC,PL
Santiago,Putumayo,PC,U
Colón,Putumayo,PL,PL
Sibundoy,Putumayo,PL,PL
Orito,Putumayo,PL,U
La Tebaida,Quindío,Afrovides,U
Pijao,Quindío,ASI,ASI
Filandia,Quindío,AV,Firmas
Circasia,Quindío,Firmas,PL
Salento,Quindío,Firmas,CR
Buenavista,Quindío,PC,ASI
Génova,Quindío,PC,CR
Quimbaya,Quindío,PL,CR
Montenegro,Quindío,PL,Firmas
Armenia,Quindío,PL,PL
Córdoba,Quindío,U,CR
Calarcá,Quindío,U,Firmas
Mistrato,Risaralda,ASI,Mais
Santa Rosa de Cabal,Risaralda,ASI,PC
Quinchía,Risaralda,CR,PL
Dos Quebradas,Risaralda,Firmas,PC
Marsella,Risaralda,Firmas,PC
Belén de Umbría,Risaralda,PC,Firmas
Guatica,Risaralda,PC,PC
La Virginia,Risaralda,PC,PL
Apia,Risaralda,PL,PL
Balboa,Risaralda,PL,PL
Santuario,Risaralda,U,PC
Pereira,Risaralda,U,PL
Pueblo Rico,Risaralda,U,PL
La Celia,Risaralda,U,U
Providencia,San Andrés,MIO,Firmas
San Andrés,San Andrés,,
Chipatá,Santander,ASI,ASI
Cabrera,Santander,ASI,U
Galán,Santander,AV,OC
Sabana de Torres,Santander,CR,ASI
Rionegro,Santander,CR,CD
Charta,Santander,CR,CR
Florián,Santander,CR,CR
Málaga,Santander,CR,CR
San Benito,Santander,CR,CR
Puente Nacional,Santander,CR,PC
Vetas,Santander,CR,PC
Zapatoca,Santander,CR,PC
Aratoca,Santander,CR,PL
Chima,Santander,CR,PL
Hato,Santander,CR,PL
Landázuri,Santander,CR,PL
Cerrito,Santander,CR,U
El Guacamayo,Santander,CR,U
El Peñón,Santander,CR,U
Gámbita,Santander,CR,U
La Paz,Santander,CR,U
Barrancabermeja,Santander,Firmas,PL
Betulia,Santander,Firmas,PL
Barichara,Santander,Firmas,U
Piedecuesta,Santander,Firmas,PL
Villanueva,Santander,Firmas,U
San Gil,Santander,Firmas,U
Curití,Santander,Firmas,U
Guavatá,Santander,Firmas,PL
Matanza,Santander,Firmas,CR
Los Santos,Santander,Firmas,PL
Suratá,Santander,Firmas,U
Girón,Santander,Firmas,U
San Joaquín,Santander,PC,CR
Floridablanca,Santander,PC,Firmas
Albania,Santander,PC,PC
Bolívar,Santander,PC,PC
Macaravita,Santander,PC,PC
Mogotes,Santander,PC,PC
Palmas del Socorro,Santander,PC,PC
Guapotá,Santander,PC,PL
Jesús María,Santander,PC,PL
Aguada,Santander,PC,U
Capitanejo,Santander,PC,U
Jordán,Santander,PC,U
La Belleza,Santander,PC,U
Ocamonte,Santander,PC,U
Molagavita,Santander,PIN,OC
Puerto Parra,Santander,PIN,OC
Santa Bárbara,Santander,PIN,PC
Cepitá,Santander,PIN,PL
San Andrés,Santander,PIN,PL
Pinchote,Santander,PIN,U
Puerto Wilches,Santander,PIN,U
San José de Miranda,Santander,PIN,U
Páramo,Santander,PL,CR
Bucaramanga,Santander,PL,Firmas
Socorro,Santander,PL,OC
Confines,Santander,PL,PL
Guaca,Santander,PL,PL
Güepsa,Santander,PL,PL
Palmar,Santander,PL,PL
Tona,Santander,PL,PL
Valle de San José,Santander,PL,PL
Carcasí,Santander,PL,U
Cimitarra,Santander,PL,U
Encino,Santander,PL,U
Suaita,Santander,PL,U
California,Santander,U,CD
Concepción,Santander,U,CD
El Playón,Santander,U,CD
San Vicente de Chucurí,Santander,U,CD
Guadalupe,Santander,U,CR
San Miguel,Santander,U,CR
Contratación,Santander,U,OC
Barbosa,Santander,U,PC
Sucre,Santander,U,PC
Coromoro,Santander,U,PL
Oiba,Santander,U,PL
Vélez,Santander,U,PL
Charalá,Santander,U,U
El Carmen de Chucurí,Santander,U,U
Enciso,Santander,U,U
Lebrija,Santander,U,U
Onzaga,Santander,U,U
Santa Helena del Opón,Santander,U,U
Simacota,Santander,U,U
Sucre,Sucre,Afrovides,CR
Coveñas,Sucre,Afrovides,OC
San Juan de Betulia (Betulia),Sucre,Afrovides,OC
Tolú,Sucre,Afrovides,PL
El Roble,Sucre,CR,CR
Caimito ,Sucre,CR,OC
Chalan,Sucre,CR,OC
Palmito,Sucre,CR,PC
San Marcos,Sucre,CR,PC
Morroa,Sucre,Firmas,U
San Onofre,Sucre,PC,Mais
Buenavista,Sucre,PC,PL
Sincé,Sucre,PC,PL
Coloso(Ricaurte),Sucre,PC,U
Galeras(Nueva Granada),Sucre,PIN,U
La Unión,Sucre,PIN,U
San Pedro,Sucre,PIN,U
Corozal,Sucre,PL,CR
Toluviejo,Sucre,PL,PL
Guaranda,Sucre,U,PL
Los Palmitos,Sucre,U,PL
Majagual,Sucre,U,PL
Ovejas,Sucre,U,PL
San Benito Abad,Sucre,U,PL
Sincelejo,Sucre,U,PL
Sampues,Sucre,U,U
Fresno,Tolima,Afrovides,U
Valle De San Juan,Tolima,Aico,PC
Coyaima,Tolima,ASI,PL
Ataco,Tolima,CR,ASI
Ambalema,Tolima,CR,CR
Espinal,Tolima,CR,CR
Honda,Tolima,CR,CR
Lerida,Tolima,CR,Firmas
Rovira,Tolima,CR,PC
Armero(Guayabal),Tolima,CR,PL
Carmen De Apicalá,Tolima,CR,PL
Piedras,Tolima,CR,PL
Venadillo,Tolima,CR,PL
Prado,Tolima,CR,U
Suarez,Tolima,Firmas,PC
Libano,Tolima,MIO,CR
Rioblanco ,Tolima,MIO,OC
Coello,Tolima,MIO,U
Guamo,Tolima,PC,CR
Alpujarra,Tolima,PC,PC
Herveo,Tolima,PC,PC
Murillo,Tolima,PC,PC
Saldaña,Tolima,PC,PC
San Antonio,Tolima,PC,PC
Santa Isabel,Tolima,PC,PC
Villahermosa,Tolima,PC,PC
Casabianca,Tolima,PC,U
Flandes,Tolima,PC,U
Roncesvalles,Tolima,PL,AV
Ibague,Tolima,PL,Mais
Planadas,Tolima,PL,OC
Ortega,Tolima,PL,PC
Alvarado,Tolima,PL,PL
Chaparral,Tolima,PL,PL
Falan,Tolima,PL,PL
Natagaima,Tolima,PL,PL
Cajamarca,Tolima,PL,U
Dolores,Tolima,PL,U
Cunday,Tolima,U,ASI
Icononzo,Tolima,U,ASI
Mariquita,Tolima,U,CR
Anzoategui,Tolima,U,PC
Palocabildo,Tolima,U,PC
Purificación,Tolima,U,PC
San Luis,Tolima,U,PC
Villarrica,Tolima,U,PL
Melgar,Tolima,U,U
Bugalagrande,Valle del Cauca,Aico,PL
Florida,Valle del Cauca,Aico,U
Trujillo,Valle del Cauca,ASI,Mais
Argelia,Valle del Cauca,AV,PC
Yumbo,Valle del Cauca,AV,PL
Pradera,Valle del Cauca,CR,ASI
Ginebra,Valle del Cauca,CR,PL
Cali ,Valle del Cauca,Firmas,Firmas
Roldanillo,Valle del Cauca,Firmas,ASI
Candelaria,Valle del Cauca,Firmas,PL
Obando,Valle del Cauca,Firmas,CR
Restrepo,Valle del Cauca,Firmas,PL
Zarzal,Valle del Cauca,Firmas,U
Andalucia,Valle del Cauca,MIO,Aico
Dagua ,Valle del Cauca,MIO,PC
Sevilla,Valle del Cauca,MIO,PL
El Cairo,Valle del Cauca,MIO,U
La Unión,Valle del Cauca,PC,Aico
Toro,Valle del Cauca,PC,CD
Riofrio,Valle del Cauca,PC,Firmas
Caicedonia,Valle del Cauca,PC,PC
Vijes,Valle del Cauca,PC,PC
Ansermanuevo,Valle del Cauca,PC,U
El Aguila,Valle del Cauca,PC,U
Versalles,Valle del Cauca,PC,U
La Victoria ,Valle del Cauca,PIN,Aico
Bolivar,Valle del Cauca,PIN,U
Cartago,Valle del Cauca,PL,ASI
Buenaventura,Valle del Cauca,PL,U
Calima(Darien),Valle del Cauca,PL,U
Buga,Valle del Cauca,U,ASI
Tulua,Valle del Cauca,U,Mais
El Dovio,Valle del Cauca,U,PC
La Cumbre,Valle del Cauca,U,PC
El Cerrito ,Valle del Cauca,U,PL
Guacarí,Valle del Cauca,U,PL
San Pedro,Valle del Cauca,U,PL
Ulloa,Valle del Cauca,U,PL
Alcalá,Valle del Cauca,U,U
Jamundí,Valle del Cauca,U,U
Palmira,Valle del Cauca,U,U
Yotoco,Valle del Cauca,U,U
Restrepo,Valle del Cauca,Firmas,Aico
Obando,Valle del Cauca,Firmas,CR
Taraira,Vaupés,CR,U
Caruru,Vaupés,MIO,CR
Mitu,Vaupés,PIN,CR
Cumaribo,Vichada,ASI,CD
Puerto Carreño ,Vichada,CR,CR
Santa Rosalia,Vichada,CR,CR
La Primavera ,Vichada,MIO,PL
