"code","municipio","departamento","TMIN_CLAS_COBRE_A_1_1","conf_uso_2"
68770,"Suaita","Santander",0,0.440392
68773,"Sucre","Santander",0,-0.326394
68780,"Suratá","Santander",0,-2.187426
68820,"Tona","Santander",0,-2.187426
68855,"Valle de San José","Santander",0,1.348184
68861,"Vélez","Santander",0,2.114971
68867,"Vetas","Santander",0,-2.187426
68872,"Villanueva","Santander",0,0.440392
68895,"Zapatoca","Santander",0,-0.326394
70001,"Sincelejo","Sucre",0,2.114971
70110,"Buenavista","Sucre",0,2.114971
70124,"Caimito","Sucre",0,0.253939
70204,"Colosó (Ricaurte)","Sucre",0,0.253939
70215,"Corozal","Sucre",0,2.114971
70221,"Coveñas","Sucre",0,0.253939
70230,"Chalán","Sucre",0,2.114971
70233,"El Roble","Sucre",0,2.114971
70235,"Galeras (Nueva Granada)","Sucre",0,2.114971
70265,"Guaranda","Sucre",0,-1.42064
70400,"La Unión","Sucre",0,2.114971
70418,"Los Palmitos","Sucre",0,2.114971
70429,"Majagual","Sucre",0,-1.42064
70473,"Morroa","Sucre",0,2.114971
70508,"Ovejas","Sucre",0,2.114971
70523,"Palmito","Sucre",0,0.253939
70670,"Sampués","Sucre",0,2.114971
70678,"San Benito Abad","Sucre",0,0.253939
70702,"San Juan de Betulia","Sucre",0,2.114971
70708,"San Marcos","Sucre",0,0.253939
70713,"San Onofre","Sucre",0,0.253939
70717,"San Pedro","Sucre",0,2.114971
70742,"Sincé","Sucre",0,2.114971
70771,"Sucre","Sucre",0,-1.42064
70820,"Tolú","Sucre",0,0.253939
70823,"Tolú Viejo","Sucre",0,0.253939
73001,"Ibagué","Tolima",1,1.348184
73024,"Alpujarra","Tolima",0,0.440392
73026,"Alvarado","Tolima",0,0.440392
73030,"Ambalema","Tolima",0,2.114971
73043,"Anzoátegui","Tolima",1,-0.326394
73055,"Armero (Guayabal)","Tolima",1,0.253939
73067,"Ataco","Tolima",1,1.348184
73124,"Cajamarca","Tolima",1,-0.326394
73148,"Carmen de Apicalá","Tolima",0,2.114971
73152,"Casabianca","Tolima",0,-2.187426
73168,"Chaparral","Tolima",1,1.348184
73200,"Coello","Tolima",0,1.348184
73217,"Coyaima","Tolima",0,0.440392
73226,"Cunday","Tolima",0,1.348184
73236,"Dolores","Tolima",0,2.114971
73268,"Espinal","Tolima",0,0.253939
73270,"Falan","Tolima",1,-0.326394
73275,"Flandes","Tolima",0,0.253939
