scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
5,Admin-0 map subunit,6,United Kingdom,GB1,1,4,Overlay,British Indian Ocean Territory,IOT,0,British Indian Ocean Territory,IOT,1,Diego Garcia Naval Support Facility,IOD,1,Diego Garcia NSF,Diego Garcia Naval Support Facility,B44,Diego Garcia NSF,,Dieg. G.,DG,Diego Garcia Naval Support Facility,,Leased by U.S.A.,Leased to U.S.A by U.K.; Claimed by Mauritius and Seychelles,Diego Garcia Naval Support Facility,,6,6,6,3,4000,160,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,IOT,IOT,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,16,35,8,2,-99
6,Admin-0 map subunit,5,United Kingdom,GB1,1,2,Dependency,British Indian Ocean Territory,IOT,0,British Indian Ocean Territory,IOT,0,British Indian Ocean Territory,IOT,1,Br. Indian Ocean Ter.,British Indian Ocean Territory,B69,Br. Indian Ocean Ter.,,I.O.T.,IO,,,U.K.,Admin. by U.K.; Claimed by Mauritius and Seychelles,British Indian Ocean Territory,,6,6,6,3,4000,160,-99,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,IO,IOT,086,-099,-99,-99,-99,IOT,IOT,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,21,30,6,5,-99
5,Admin-0 map subunit,5,Maldives,MDV,0,2,Sovereign country,Maldives,MDV,0,Maldives,MDV,0,Maldives,MDV,0,Maldives,Maldives,MDV,Maldives,,Mald.,MV,Republic of Maldives,,,,Maldives,,2,3,1,7,396334,1716,-99,2011,-99,6. Developing region,3. Upper middle income,-99,,MV,MDV,462,462,MV,MDV,-99,MDV,B13,-99,-99,Seven seas (open ocean),Asia,Southern Asia,South Asia,8,8,5,2,1
3,Admin-0 map subunit,5,Mauritius,MUS,0,2,Sovereign country,Mauritius,MUS,0,Mauritius,MUS,0,Mauritius,MUS,0,Mauritius,Mauritius,MUS,Mauritius,,Mus.,MU,Republic of Mauritius,,,,Mauritius,,1,3,5,7,1284264,15270,-99,2011,-99,6. Developing region,3. Upper middle income,-99,,MU,MUS,480,480,MU,MUS,-99,MUS,MUS,-99,-99,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,9,9,4,2,1
3,Admin-0 map subunit,6,Portugal,PRT,0,3,Geo unit,Portugal,PRT,1,Azores,PAZ,0,Azores,PAZ,0,Azores,Azores,PAZ,Azores,,Az.,AZ,,,Port.,,Azores,,1,7,1,4,235374,4492,0,-99,0,2. Developed region: nonG7,1. High income: OECD,-99,,-99,-99,-99,-099,-99,-99,-99,-99,PRT,-99,-99,Seven seas (open ocean),Europe,Southern Europe,Europe & Central Asia,6,6,3,-99,-99
3,Admin-0 map subunit,4,France,FR1,1,3,Geo unit,France,FRA,1,Reunion,REU,0,Reunion,REU,0,Reunion,Reunion,REU,Reunion,,Reu.,RE,Department of Reunion,,Fr.,,Reunion,,7,5,9,11,787584,4348,-99,-99,-99,1. Developed region: G7,4. Lower middle income,-99,,RE,REU,638,638,-99,-99,-99,REU,FRA,-99,-99,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,7,7,4,-99,-99
3,Admin-0 map subunit,6,United Kingdom,GB1,1,4,Geo subunit,South Georgia and the Islands,SGS,0,South Georgia and the Islands,SGS,1,South Georgia,SGG,1,S. Georgia,South Georgia,B32,S. Georgia,,S. Geo.,SG,,,U.K.,Admin. by U.K.; Claimed by Argentina,South Georgia,,6,6,6,3,30,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,SGS,SGS,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,10,13,7,3,-99
5,Admin-0 map subunit,6,United Kingdom,GB1,1,4,Geo subunit,South Georgia and the Islands,SGS,0,South Georgia and the Islands,SGS,1,South Sandwich Islands,SGX,1,S. Sandwich Is.,South Sandwich Islands,B33,S. Sandwich Is.,,S. Swich.,SS,,,U.K.,Admin. by U.K.; Claimed by Argentina,South Sandwich Islands,,6,6,6,3,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,SGS,SGS,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,15,22,9,-99,-99
5,Admin-0 map subunit,6,United Kingdom,GB1,1,4,Geo subunit,Saint Helena,SHN,0,Saint Helena,SHN,1,Saint Helena,SHS,0,St. Helena,Saint Helena,SHS,St. Helena,,St.H.,SH,,,U.K.,,St. Helena,,6,6,6,3,4255,10.028807,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,SHN,SHN,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Antarctica,10,12,5,-99,-99
6,Admin-0 map subunit,6,United Kingdom,GB1,1,4,Geo subunit,Saint Helena,SHN,0,Saint Helena,SHN,1,Tristan da Cunha,SHT,0,Tristan da Cunha,Tristan da Cunha,SHT,Tristan da Cunha,,T.dC.,TC,,,U.K.,,Tristan da Cunha,,6,6,6,3,264,0.622234,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,SHN,SHN,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Antarctica,16,16,5,-99,-99
5,Admin-0 map subunit,6,Seychelles,SYC,0,2,Sovereign country,Seychelles,SYC,0,Seychelles,SYC,0,Seychelles,SYC,0,Seychelles,Seychelles,SYC,Seychelles,,Syc.,SC,Republic of Seychelles,,,,Seychelles,,5,8,3,1,87476,1715,-99,2010,-99,6. Developing region,3. Upper middle income,-99,,SC,SYC,690,690,SC,SYC,-99,SYC,SYC,-99,-99,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,10,10,4,2,1
6,Admin-0 map subunit,5,France,FR1,1,4,Geo subunit,French Southern and Antarctic Lands,ATF,0,French Southern and Antarctic Lands,ATF,1,Tromelin Island,TEI,1,Tromelin I.,Tromelin Island,B25,Tromelin I.,,Trom. I.,TR,,,Fr.,Admin. by France; Claimed by Mauritius and the Seychelles,Tromelin Island,,7,5,9,11,20,2.285714,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ATF,ATF,-99,-99,Seven seas (open ocean),Africa,Eastern Africa,Sub-Saharan Africa,11,15,8,-99,-99
5,Admin-0 map subunit,5,South Africa,ZAF,0,4,Geo subunit,South Africa,ZAF,0,South Africa,ZAF,1,Prince Edward Islands,ZAI,0,Prince Edward Is.,Prince Edward Islands,ZAI,Prince Edward Is.,,P.E.I.,PE,,,S.A.,,Prince Edward Islands,,2,3,4,2,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ZAF,ZAF,-99,-99,Seven seas (open ocean),Seven seas (open ocean),Seven seas (open ocean),Sub-Saharan Africa,17,21,6,-99,-99
