scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,4,Antarctica,ATA,0,4,Geo subunit,Antarctica,ATA,0,Antarctica,ATA,1,Antarctica,ATB,0,Antarctica,Antarctica,ATB,Antarctica,,Ant.,AT,,,,,Antarctica,,4,5,1,-99,4000,800,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ATA,ATA,-99,-99,Antarctica,Antarctica,Antarctica,Antarctica,10,10,4,-99,1
6,Admin-0 map subunit,5,Antarctica,ATA,0,4,Geo subunit,Antarctica,ATA,0,Antarctica,ATA,1,Peter I Island,ATP,0,Peter I I.,Peter I Island,ATP,Peter I I.,,P.I.I.,PI,,,,,Peter I Island,,4,5,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,ATA,ATA,-99,-99,Antarctica,Antarctica,Antarctica,Antarctica,10,14,6,-99,-99
6,Admin-0 map subunit,4,Norway,NOR,0,3,Geo unit,Norway,NOR,1,Bouvet Island,BVT,0,Bouvet Island,BVT,0,Bouvet I.,Bouvet Island,BVT,Bouvet I.,,Bvt. I.,BV,,,Nor.,,Bouvet Island,Bouvet�ya,5,3,8,12,-99,-99,-99,-99,-99,7. Least developed region,1. High income: OECD,-99,,BV,BVT,074,074,-99,-99,-99,BVT,NOR,-99,-99,Antarctica,Antarctica,Antarctica,Sub-Saharan Africa,9,13,7,-99,-99
