scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,9,India,IND,0,4,Geo subunit,India,IND,0,India,IND,1,India,INX,0,India,India,INX,India,,India,IND,Republic of India,,,,India,,1,3,2,2,1165458440,3295244.797578,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,IND,IND,-99,-99,Asia,Asia,Southern Asia,South Asia,5,5,5,-99,1
0,Admin-0 map subunit,7,Iraq,IRQ,0,3,Geo unit,Iraq,IRQ,1,Iraqi Kurdistan,IRK,0,Iraqi Kurdistan,IRK,0,Iraqi Kurdistan,Iraqi Kurdistan,IRK,Iraqi Kurdistan,,KRG,KRG,Kurdistan Regional Government,,Iraq,,Iraqi Kurdistan,,1,4,3,1,4690939,15656.944948,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,IRQ,IRQ,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,15,15,3,-99,1
0,Admin-0 map subunit,2,Iran,IRN,0,2,Sovereign country,Iran,IRN,0,Iran,IRN,0,Iran,IRN,0,Iran,Iran,IRN,Iran,,Iran,IRN,Islamic Republic of Iran,,,,"Iran, Islamic Rep.",,4,3,4,13,66429284,841700,-99,2006,-99,5. Emerging region: G20,3. Upper middle income,-99,,IR,IRN,364,364,IR,IRN,-99,IRN,IRN,-99,-99,Asia,Asia,Southern Asia,Middle East & North Africa,4,4,4,-99,1
0,Admin-0 map subunit,3,Iraq,IRQ,0,3,Geo unit,Iraq,IRQ,1,Iraq,IRR,0,Iraq,IRR,0,Iraq,Iraq,IRR,Iraq,,Iraq,IRQ,Republic of Iraq,,,,Iraq,,1,4,3,1,26438286,88243.055052,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,IRQ,IRQ,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,4,4,4,-99,1
0,Admin-0 map subunit,4,Israel,ISR,0,2,Sovereign country,Israel,ISR,0,Israel,ISR,0,Israel,ISR,0,Israel,Israel,ISR,Israel,,Isr.,IS,State of Israel,,,,Israel,,3,2,5,9,7233701,201400,-99,2009,-99,2. Developed region: nonG7,1. High income: OECD,-99,,IL,ISR,376,376,IL,ISR,-99,ISR,ISR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1
0,Admin-0 map subunit,4,Jordan,JOR,0,2,Sovereign country,Jordan,JOR,0,Jordan,JOR,0,Jordan,JOR,0,Jordan,Jordan,JOR,Jordan,,Jord.,J,Hashemite Kingdom of Jordan,,,,Jordan,,5,3,4,4,6342948,31610,-99,2004,-99,6. Developing region,3. Upper middle income,-99,,JO,JOR,400,400,JO,JOR,-99,JOR,JOR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,5,-99,1
5,Admin-0 map subunit,5,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Bonin Islands,JPB,0,Bonin Is.,Bonin Islands,JPB,Bonin Is.,,Bon. Is.,BI,,,Japan,,Bonin Islands,"Ogasawara Group, Ogasawara Gunto",5,3,5,4,2440,83.119844,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,9,13,8,-99,-99
0,Admin-0 map subunit,7,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Honshu,JPH,0,Honshu,Honshu,JPH,Honshu,,Hon.,HN,,,Japan,,Honshu,,5,3,5,4,103000000,3508747.521683,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,6,6,4,-99,1
5,Admin-0 map subunit,5,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Izushoto,JPI,0,Izu-shoto,Izu-shoto,JPI,Izushoto,,Izu.,IZ,,,Japan,,Izu-shoto,,5,3,5,4,24960,850.275128,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,9,9,4,-99,1
0,Admin-0 map subunit,7,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Hokkaido,JPK,0,Hokkaido,Hokkaido,JPK,Hokkaido,,Hok.,HK,,,Japan,,Hokkaido,,5,3,5,4,5541598,188777.361638,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,8,8,4,-99,1
3,Admin-0 map subunit,5,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Nanseishoto,JPO,0,Nansei-shoto,Nansei-shoto,JPO,Nanseishoto,,Nan.,NN,,,Japan,,Nansei-shoto,"Ryukyu Islands, Ryukyu-shoto",5,3,5,4,1550161,52807.024922,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,12,12,4,-99,-99
1,Admin-0 map subunit,7,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Shikoku,JPS,0,Shikoku,Shikoku,JPS,Shikoku,,Shi.,SH,,,Japan,,Shikoku,,5,3,5,4,4141955,141097.809138,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,7,7,4,-99,1
6,Admin-0 map subunit,5,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Volcano Islands,JPV,0,Volcano Is.,Volcano Islands,JPV,Volcano Is.,,Vol.,VI,,,Japan,,Volcano Islands,,5,3,5,4,400,13.626204,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,11,15,4,-99,-99
3,Admin-0 map subunit,2,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Japan,JPX,0,Japan,Japan,JPX,Japan,,Japan,J,,,,,Japan,,5,3,5,4,1270786.79,43290,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,5,5,5,-99,1
0,Admin-0 map subunit,7,Japan,JPN,0,4,Geo subunit,Japan,JPN,0,Japan,JPN,1,Kyushu,JPY,0,Kyushu,Kyushu,JPY,Kyushu,,Kyu.,KY,,,Japan,,Kyushu,,5,3,5,4,13231995,450754.656924,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,JPN,JPN,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,6,6,4,-99,1
0,Admin-0 map subunit,5,Kazakhstan,KAZ,1,2,Lease,Baykonur Cosmodrome,KAB,0,Baykonur Cosmodrome,KAB,0,Baykonur Cosmodrome,KAB,1,Baikonur,Baikonur Cosmodrome,B40,Baykonur,,Bayk.,BK,,,Leased by Russia,Leased to Russia by Kazakhstan,Baikonur Cosmodrome,Baykonur Cosmodrome,6,1,6,1,70000,1155,-99,-99,-99,2. Developed region: nonG7,3. Upper middle income,0,,-99,-99,-99,-099,-99,-99,-99,KAZ,KAB,-99,-99,Asia,Asia,Central Asia,Europe & Central Asia,8,19,5,-99,-99
0,Admin-0 map subunit,5,Kashmir,KAS,0,2,Indeterminate,Siachen Glacier,KAS,0,Siachen Glacier,KAS,0,Siachen Glacier,KAS,1,Siachen Glacier,Siachen Glacier,B45,Siachen Glacier,Jammu and Kashmir,Siachen,SG,,,,Claimed by Pakistan and India,Kashmir,,3,7,6,-99,6000,15,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,-99,KAS,-99,-99,Asia,Asia,Southern Asia,South Asia,15,15,7,-99,1
0,Admin-0 map subunit,3,Kazakhstan,KAZ,0,2,Sovereign country,Kazakhstan,KAZ,0,Kazakhstan,KAZ,0,Kazakhstan,KAZ,0,Kazakhstan,Kazakhstan,KAZ,Kazakhstan,,Kaz.,KZ,Republic of Kazakhstan,,,,Kazakhstan,,6,1,6,1,15399437,175800,-99,2009,-99,6. Developing region,3. Upper middle income,-99,,KZ,KAZ,398,398,KZ,KAZ,-99,KAZ,KAZ,-99,-99,Asia,Asia,Central Asia,Europe & Central Asia,10,10,4,-99,1
0,Admin-0 map subunit,4,Kyrgyzstan,KGZ,0,2,Sovereign country,Kyrgyzstan,KGZ,0,Kyrgyzstan,KGZ,0,Kyrgyzstan,KGZ,0,Kyrgyzstan,Kyrgyzstan,KGZ,Kyrgyzstan,,Kgz.,KG,Kyrgyz Republic,,,,Kyrgyz Republic,,5,7,7,6,5431747,11610,-99,2009,-99,6. Developing region,5. Low income,-99,,KG,KGZ,417,417,KG,KGZ,-99,KGZ,KGZ,-99,-99,Asia,Asia,Central Asia,Europe & Central Asia,10,10,4,-99,1
0,Admin-0 map subunit,3,Cambodia,KHM,0,2,Sovereign country,Cambodia,KHM,0,Cambodia,KHM,0,Cambodia,KHM,0,Cambodia,Cambodia,KHM,Cambodia,,Camb.,KH,Kingdom of Cambodia,,,,Cambodia,,6,3,6,5,14494293,27940,-99,2008,-99,7. Least developed region,5. Low income,-99,,KH,KHM,116,116,KH,KHM,-99,KHM,KHM,-99,-99,Asia,Asia,South-Eastern Asia,East Asia & Pacific,8,8,5,-99,1
0,Admin-0 map subunit,9,South Korea,KOR,0,3,Overlay,South Korea,KOR,1,Korean Demilitarized Zone (south),KNX,0,Korean Demilitarized Zone (south),KNX,1,Korean DMZ (south),Korean DMZ (south),B10,Korean Demilitarized Zone (south),Korea Demilitarized Zone,DMZ South,DZ,Korean Demilitarized Zone (south),,,"Since 1953 a 2 km buffer south of the military demarcation line, patrolled by South Korea",Korean Demilitarized Zone (south),,4,1,1,-99,218,5.999509,0,-99,-99,4. Emerging region: MIKT,1. High income: OECD,0,,-99,-99,-99,-099,-99,-99,-99,-99,B10,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,18,18,9,-99,1
0,Admin-0 map subunit,9,North Korea,PRK,0,3,Overlay,North Korea,PRK,1,Korean Demilitarized Zone (north),KNZ,0,Korean Demilitarized Zone (north),KNZ,1,Korean DMZ (north),Korean DMZ (north),B11,Korean Demilitarized Zone (north),,DMZ North,DZ,Korean Demilitarized Zone (north),,,"Since 1953 a 2 km buffer north of the military demarcation line, patrolled by North Korea",Korean Demilitarized Zone (north),,3,5,3,9,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,0,,-99,-99,-99,-099,-99,-99,-99,-99,B11,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,18,18,9,-99,1
6,Admin-0 map subunit,7,South Korea,KOR,0,4,Geo subunit,South Korea,KOR,0,South Korea,KOR,1,Baengnyeongdo,KOB,0,Baengnyeongdo,Baengnyeongdo,KOB,Baengnyeongdo,,Baeng.,BA,,,S.K.,,Baengnyeongdo,,4,1,1,5,4329,119.137033,-99,-99,-99,-99,-99,0,,-99,-99,-99,-099,-99,-99,-99,KOR,KOR,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,13,13,6,-99,-99
6,Admin-0 map subunit,6,South Korea,KOR,0,4,Geo subunit,South Korea,KOR,0,South Korea,KOR,1,Dokdo,KOD,1,Dokdo,Dokdo,B39,Dokdo,,Dok.,DO,,,S.K.,Admin. by South Korea; Claimed by Japan,Dokdo,"Takeshima, Liancort Rocks",4,1,1,5,45,1.238431,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,KOR,KOD,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,5,5,4,-99,-99
3,Admin-0 map subunit,6,South Korea,KOR,0,4,Geo subunit,South Korea,KOR,0,South Korea,KOR,1,Jejudo,KOJ,0,Jejudo,Jejudo,KOJ,Jejudo,,Jej.,JE,,,S.K.,,Jejudo,,4,1,1,5,565000,15549.185417,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,KOR,KOR,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,6,6,4,-99,1
3,Admin-0 map subunit,6,South Korea,KOR,0,4,Geo subunit,South Korea,KOR,0,South Korea,KOR,1,Ulleungdo,KOU,0,Ulleungdo,Ulleungdo,KOU,Ulleungdo,,Ul.,UL,,,S.K.,,Ulleungdo,,4,1,1,5,10000,275.206822,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,KOR,KOR,-99,-99,Asia,Asia,Eastern Asia,East Asia & Pacific,9,9,3,-99,1
