scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
5,Admin-0 map subunit,6,United States of America,US1,1,2,Dependency,Guam,GUM,0,Guam,GUM,0,Guam,GUM,0,Guam,Guam,GUM,Guam,,Guam,GU,Territory of Guam,,U.S.A.,,Guam,,4,5,1,1,178430,2500,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,GU,GUM,316,316,GU,GUM,-99,GUM,GUM,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,4,4,4,2,-99
6,Admin-0 map subunit,6,United States of America,US1,1,3,Geo unit,United States Minor Outlying Islands,UMI,1,Howland Island,HQI,0,Howland Island,HQI,0,Howland I.,Howland Island,HQI,Howland I.,,How. I.,HI,,,U.S.A.,,Howland Island,,4,5,1,1,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,HQI,UMI,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,10,14,7,-99,-99
6,Admin-0 map subunit,6,United States of America,US1,1,3,Geo unit,United States Minor Outlying Islands,UMI,1,Johnston Atoll,JQI,0,Johnston Atoll,JQI,0,Johnston Atoll,Johnston Atoll,JQI,Johnston Atoll,,John. At.,JA,,,U.S.A.,,Johnston Atoll,,4,5,1,1,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,JQI,UMI,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,14,14,9,-99,-99
3,Admin-0 map subunit,6,Kiribati,KIR,0,2,Sovereign country,Kiribati,KIR,0,Kiribati,KIR,0,Kiribati,KIR,0,Kiribati,Kiribati,KIR,Kiribati,,Kir.,KI,Republic of Kiribati,,,,Kiribati,,5,7,6,12,112850,579.5,-99,2005,-99,7. Least developed region,4. Lower middle income,-99,,KI,KIR,296,296,KI,KIR,-99,KIR,KIR,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,8,8,4,2,1
5,Admin-0 map subunit,6,Marshall Islands,MHL,0,2,Sovereign country,Marshall Islands,MHL,0,Marshall Islands,MHL,0,Marshall Islands,MHL,0,Marshall Is.,Marshall Islands,MHL,Marshall Is.,,M. Is.,MH,Republic of the Marshall Islands,,,,Marshall Islands,,2,5,5,3,64522,133.5,-99,2011,-99,6. Developing region,4. Lower middle income,-99,,MH,MHL,584,584,MH,MHL,-99,MHL,MHL,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,12,16,6,2,1
5,Admin-0 map subunit,6,United States of America,US1,1,2,Dependency,Northern Mariana Islands,MNP,0,Northern Mariana Islands,MNP,0,Northern Mariana Islands,MNP,0,N. Mariana Is.,Northern Mariana Islands,MNP,N. Mariana Is.,,N.M.I.,MP,Commonwealth of the Northern Mariana Islands,,Commonwealth of U.S.A.,,Northern Mariana Islands,,4,5,1,1,88662,900,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,MP,MNP,580,580,MP,MNP,-99,MNP,MNP,-99,-99,Oceania,Oceania,Micronesia,East Asia & Pacific,14,24,6,3,-99
5,Admin-0 map subunit,6,United States of America,US1,1,3,Geo unit,United States Minor Outlying Islands,UMI,1,Midway Islands,MQI,0,Midway Islands,MQI,0,Midway Is.,Midway Islands,MQI,Midway Is.,,Mid. Is.,MI,,,U.S.A.,,Midway Islands,,4,5,1,1,-99,-99,-99,-99,-99,7. Least developed region,5. Low income,-99,,-99,-99,-99,-099,-99,-99,-99,MQI,UMI,-99,-99,Oceania,Oceania,Northern America,East Asia & Pacific,10,14,8,-99,-99
1,Admin-0 map subunit,3,France,FR1,1,2,Dependency,New Caledonia,NCL,0,New Caledonia,NCL,0,New Caledonia,NCL,0,New Caledonia,New Caledonia,NCL,New Caledonia,,New C.,NC,New Caledonia,Nouvelle-Cal�donie,Fr.,,New Caledonia,,7,5,9,11,227436,3158,-99,2009,-99,6. Developing region,2. High income: nonOECD,-99,,NC,NCL,540,540,NC,NCL,-99,NCL,NCL,-99,-99,Oceania,Oceania,Melanesia,East Asia & Pacific,13,13,6,-99,-99
6,Admin-0 map subunit,5,Australia,AU1,1,2,Dependency,Norfolk Island,NFK,0,Norfolk Island,NFK,0,Norfolk Island,NFK,0,Norfolk Island,Norfolk Island,NFK,Norfolk Island,,Nfk. I.,NF,Territory of Norfolk Island,,Auz.,,Norfolk Island,,1,2,2,7,2141,32.115,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,NF,NFK,574,574,-99,-99,-99,NFK,NFK,-99,-99,Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,14,14,7,-99,-99
5,Admin-0 map subunit,4,New Zealand,NZ1,1,2,Dependency,Niue,NIU,0,Niue,NIU,0,Niue,NIU,0,Niue,Niue,NIU,Niue,,Niue,NU,,,Assoc. with N.Z.,,Niue,,3,3,4,4,1398,10.01,-99,-99,-99,6. Developing region,3. Upper middle income,-99,,NU,NIU,570,570,-99,-99,-99,NIU,NIU,-99,-99,Oceania,Oceania,Polynesia,East Asia & Pacific,4,4,4,3,-99
