scalerank,featurecla,labelrank,sovereignt,sov_a3,adm0_dif,level,type,admin,adm0_a3,geou_dif,geounit,gu_a3,su_dif,subunit,su_a3,brk_diff,name,name_long,brk_a3,brk_name,brk_group,abbrev,postal,formal_en,formal_fr,note_adm0,note_brk,name_sort,name_alt,mapcolor7,mapcolor8,mapcolor9,mapcolor13,pop_est,gdp_md_est,pop_year,lastcensus,gdp_year,economy,income_grp,wikipedia,fips_10,iso_a2,iso_a3,iso_n3,un_a3,wb_a2,wb_a3,woe_id,adm0_a3_is,adm0_a3_us,adm0_a3_un,adm0_a3_wb,continent,region_un,subregion,region_wb,name_len,long_len,abbrev_len,tiny,homepart
0,Admin-0 map subunit,7,Iraq,IRQ,0,3,Geo unit,Iraq,IRQ,1,Iraqi Kurdistan,IRK,0,Iraqi Kurdistan,IRK,0,Iraqi Kurdistan,Iraqi Kurdistan,IRK,Iraqi Kurdistan,,KRG,KRG,Kurdistan Regional Government,,Iraq,,Iraqi Kurdistan,,1,4,3,1,4690939,15656.944948,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,IRQ,IRQ,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,15,15,3,-99,1
0,Admin-0 map subunit,3,Iraq,IRQ,0,3,Geo unit,Iraq,IRQ,1,Iraq,IRR,0,Iraq,IRR,0,Iraq,Iraq,IRR,Iraq,,Iraq,IRQ,Republic of Iraq,,,,Iraq,,1,4,3,1,26438286,88243.055052,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,IRQ,IRQ,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,4,4,4,-99,1
0,Admin-0 map subunit,4,Israel,ISR,0,2,Sovereign country,Israel,ISR,0,Israel,ISR,0,Israel,ISR,0,Israel,Israel,ISR,Israel,,Isr.,IS,State of Israel,,,,Israel,,3,2,5,9,7233701,201400,-99,2009,-99,2. Developed region: nonG7,1. High income: OECD,-99,,IL,ISR,376,376,IL,ISR,-99,ISR,ISR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1
0,Admin-0 map subunit,4,Jordan,JOR,0,2,Sovereign country,Jordan,JOR,0,Jordan,JOR,0,Jordan,JOR,0,Jordan,Jordan,JOR,Jordan,,Jord.,J,Hashemite Kingdom of Jordan,,,,Jordan,,5,3,4,4,6342948,31610,-99,2004,-99,6. Developing region,3. Upper middle income,-99,,JO,JOR,400,400,JO,JOR,-99,JOR,JOR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,5,-99,1
0,Admin-0 map subunit,6,Kuwait,KWT,0,2,Sovereign country,Kuwait,KWT,0,Kuwait,KWT,0,Kuwait,KWT,0,Kuwait,Kuwait,KWT,Kuwait,,Kwt.,KW,State of Kuwait,,,,Kuwait,,2,2,2,2,2691158,149100,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,KW,KWT,414,414,KW,KWT,-99,KWT,KWT,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1
0,Admin-0 map subunit,5,Lebanon,LBN,0,2,Sovereign country,Lebanon,LBN,0,Lebanon,LBN,0,Lebanon,LBN,0,Lebanon,Lebanon,LBN,Lebanon,,Leb.,LB,Lebanese Republic,,,,Lebanon,,4,4,4,12,4017095,44060,-99,1970,-99,6. Developing region,3. Upper middle income,-99,,LB,LBN,422,422,LB,LBN,-99,LBN,LBN,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,7,7,4,4,1
0,Admin-0 map subunit,4,Oman,OMN,0,2,Sovereign country,Oman,OMN,0,Oman,OMN,0,Oman,OMN,0,Oman,Oman,OMN,Oman,,Oman,OM,Sultanate of Oman,,,,Oman,,1,4,1,6,3418085,66980,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,OM,OMN,512,512,OM,OMN,-99,OMN,OMN,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,4,4,4,-99,1
0,Admin-0 map subunit,5,Qatar,QAT,0,2,Sovereign country,Qatar,QAT,0,Qatar,QAT,0,Qatar,QAT,0,Qatar,Qatar,QAT,Qatar,,Qatar,QA,State of Qatar,,,,Qatar,,3,6,2,4,833285,91330,-99,2010,-99,6. Developing region,2. High income: nonOECD,-99,,QA,QAT,634,634,QA,QAT,-99,QAT,QAT,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,5,5,5,-99,1
0,Admin-0 map subunit,2,Saudi Arabia,SAU,0,2,Sovereign country,Saudi Arabia,SAU,0,Saudi Arabia,SAU,0,Saudi Arabia,SAU,0,Saudi Arabia,Saudi Arabia,SAU,Saudi Arabia,,Saud.,SA,Kingdom of Saudi Arabia,,,,Saudi Arabia,,6,1,6,7,28686633,576500,-99,2010,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,SA,SAU,682,682,SA,SAU,-99,SAU,SAU,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,12,12,5,-99,1
0,Admin-0 map subunit,10,Syria,SYR,0,3,Overlay,Syria,SYR,1,UNDOF,SYU,0,UNDOF,SYU,1,UNDOF Zone,UNDOF Zone,B49,UNDOF Zone,,DOF,UN,United Nations Disengagement Observation Force,,,UN Patrolled Zone in Syria,UNDOF,,2,6,2,6,84000,411.414435,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,SYR,B49,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,10,10,3,-99,1
0,Admin-0 map subunit,9,Syria,SYR,0,3,Geo unit,Syria,SYR,1,Syria,SYX,0,Syria,SYX,0,Syria,Syrian Arab Republic,SYX,Syrian Arab Republic,,Syria,SYR,Syrian Arab Republic,,,,Syria,,2,6,2,6,20094485,98830,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,-99,-099,-99,-99,-99,SYR,SYR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,5,20,5,-99,1
0,Admin-0 map subunit,2,Turkey,TUR,0,2,Sovereign country,Turkey,TUR,0,Turkey,TUR,0,Turkey,TUR,0,Turkey,Turkey,TUR,Turkey,,Tur.,TR,Republic of Turkey,,,,Turkey,,6,3,8,4,76805524,902700,-99,2000,-99,4. Emerging region: MIKT,3. Upper middle income,-99,,TR,TUR,792,792,TR,TUR,-99,TUR,TUR,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,6,6,4,-99,1
0,Admin-0 map subunit,6,Israel,ISR,1,3,Geo unit,Palestine,PSX,1,West Bank,WEB,0,West Bank,WEB,1,West Bank,West Bank,B54,West Bank,,W.B.,WB,West Bank,,,,West Bank,,3,2,5,8,2514845,11950,-99,-99,-99,6. Developing region,4. Lower middle income,-99,,-99,-99,275,-099,-99,-99,-99,PSE,PSX,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,9,9,4,-99,-99
3,Admin-0 map subunit,3,United Kingdom,GB1,1,2,Dependency,Akrotiri Sovereign Base Area,WSB,0,Akrotiri Sovereign Base Area,WSB,0,Akrotiri Sovereign Base Area,WSB,0,Akrotiri,Akrotiri,WSB,Akrotiri,,Akr.,AK,,,U.K. Base,,Akrotiri Sovereign Base Area,,6,6,6,3,7850,314,-99,-99,-99,2. Developed region: nonG7,2. High income: nonOECD,-99,,-99,-99,-99,-099,-99,-99,-99,GBR,WSB,-99,-99,Asia,Asia,Western Asia,Europe & Central Asia,8,8,4,-99,-99
0,Admin-0 map subunit,3,Yemen,YEM,0,2,Sovereign country,Yemen,YEM,0,Yemen,YEM,0,Yemen,YEM,0,Yemen,Yemen,YEM,Yemen,,Yem.,YE,Republic of Yemen,,,,"Yemen, Rep.",,5,3,3,11,23822783,55280,-99,2004,-99,7. Least developed region,4. Lower middle income,-99,,YE,YEM,887,887,RY,YEM,-99,YEM,YEM,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,5,5,4,-99,1
5,Admin-0 map subunit,6,Yemen,YEM,0,4,Geo subunit,Yemen,YEM,0,Yemen,YEM,1,Suqutra,YES,0,Socotra,Socotra,YES,Suqutra,,Soc.,SQ,,,Yem.,,Socotra,Suqutra,5,3,3,11,42842,99.41348,-99,-99,-99,-99,-99,-99,,-99,-99,-99,-099,-99,-99,-99,YEM,YEM,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,7,7,4,-99,-99
