"mupio","depto","accionesMilitares","IDH_1_1"
"UTICA","CUNDINAMARCA",12,0.634996
"VERGARA","CUNDINAMARCA",4,0.599024
"VIANI","CUNDINAMARCA",2,0.612038
"VILLA_DE_SAN_DIEGO_DE_UBATE","CUNDINAMARCA",2,0.642818
"VILLAGOMEZ","CUNDINAMARCA",2,0.596371
"VILLAPINZON","CUNDINAMARCA",5,0.627154
"VILLETA","CUNDINAMARCA",14,0.646115
"VIOTA","CUNDINAMARCA",7,0.595446
"YACOPI","CUNDINAMARCA",2,0.558662
"ZIPACON","CUNDINAMARCA",0,0.648503
"ZIPAQUIRA","CUNDINAMARCA",0,0.673019
"QUIBDO","CHOCO",56,0.612686
"ACANDI","CHOCO",3,0.597124
"BAGADO","CHOCO",15,0.41201
"BAHIA_SOLANO","CHOCO",15,0.621845
"BOJAYA","CHOCO",15,0.565547
"BAJO_BAUDO","CHOCO",15,0.537708
"CARMEN_DEL_DARIEN","CHOCO",0,0.473713
"EL LITORAL DEL SAN JUAN","CHOCO",3,0.567679
"EL_CANTON_DEL_SAN_PABLO","CHOCO",3,0.504519
"CERTEGUI","CHOCO",2,0.564024
"CONDOTO","CHOCO",7,0.598158
"EL CARMEN DE ATRATO","CHOCO",49,0.852175
"ISTMINA","CHOCO",5,0.584318
"ATRATO","CHOCO",2,0.529035
"JURADO","CHOCO",2,0.715507
"LLORO","CHOCO",21,0.544202
"MEDIO_ATRATO","CHOCO",12,0.521544
"MEDIO_SAN_JUAN","CHOCO",3,0.55418
"MEDIO_BAUDO","CHOCO",3,0.553196
"ALTO_BAUDO","CHOCO",3,0.44869
"NOVITA","CHOCO",26,0.481915
"NUQUI","CHOCO",0,0.592305
"RIO_IRO","CHOCO",1,0.526094
"RIO_QUITO","CHOCO",2,0.559318
"RIOSUCIO","CHOCO",14,0.618127
"SAN_JOSE_DEL_PALMAR","CHOCO",15,0.563931
"SIPI","CHOCO",3,0.60754
"TADO","CHOCO",41,0.593483
"UNGUIA","CHOCO",16,0.575477
"UNION_PANAMERICANA","CHOCO",6,0.558007
"NEIVA","HUILA",76,0.663513
"ACEVEDO","HUILA",26,0.589853
"AGRADO","HUILA",1,0.610217
"AIPE","HUILA",26,0.600057
"ALGECIRAS","HUILA",104,0.58293
"ALTAMIRA","HUILA",1,0.639332
"BARAYA","HUILA",41,0.623833
"CAMPOALEGRE","HUILA",11,0.61418
"COLOMBIA","HUILA",69,0.570108
"ELIAS","HUILA",0,0.606324
"GARZON","HUILA",6,0.605701
"GIGANTE","HUILA",29,0.603205
"GUADALUPE","HUILA",8,0.613361
"LA_GUADALUPE","GUAINIA",8,0.627123
"HOBO","HUILA",2,0.589091
"IQUIRA","HUILA",6,0.584081
"ISNOS","HUILA",32,0.588833
"LA_ARGENTINA","HUILA",11,0.59991
"LA_PLATA","HUILA",31,0.598698
"NATAGA","HUILA",2,0.608454
"OPORAPA","HUILA",3,0.583233
"PAICOL","HUILA",0,0.612679
"PALERMO","HUILA",7,0.612201
"PALESTINA","HUILA",3,0.61293
"PITAL","HUILA",0,0.598022
"PITALITO","HUILA",23,0.615437
"RIVERA","HUILA",2,0.616263
"SALADOBLANCO","HUILA",4,0.58447
"SAN_AGUSTIN","HUILA",45,0.596045
"SANTA_MARIA","HUILA",10,0.620363
"SUAZA","HUILA",6,0.595049
"TARQUI","HUILA",3,0.594347
"TESALIA","HUILA",6,0.618654
"TELLO","HUILA",34,0.585438
"TERUEL","HUILA",4,0.584074
"TIMANA","HUILA",6,0.606577
"VILLAVIEJA","HUILA",4,0.611836
"YAGUARA","HUILA",1,0.684258
"RIOHACHA","LA_GUAJIRA",30,0.607303
"ALBANIA","LA_GUAJIRA",7,0.614824
"BARRANCAS","LA_GUAJIRA",13,0.606323
"DIBULLA","LA_GUAJIRA",75,0.528214
"DISTRACCION","LA_GUAJIRA",2,0.556889
"EL_MOLINO","LA_GUAJIRA",15,0.577157
"FONSECA","LA_GUAJIRA",17,0.592078
"HATONUEVO","LA_GUAJIRA",5,0.563174
"LA_JAGUA_DEL_PILAR","LA_GUAJIRA",11,0.576756
"MAICAO","LA_GUAJIRA",37,0.577426
"MANAURE","LA_GUAJIRA",7,0.530061
"SAN_JUAN_DEL_CESAR","LA_GUAJIRA",52,0.589394
"URIBIA","LA_GUAJIRA",8,0.41596
"URUMITA","LA_GUAJIRA",12,0.552793
"VILLANUEVA","LA_GUAJIRA",34,0.600721
"SANTA_MARTA","MAGDALENA",0,0.652966
"ALGARROBO","MAGDALENA",0,0.574541
"ARIGUANI","MAGDALENA",46,0.572634
"ARACATACA","MAGDALENA",46,0.578117
"CERRO_DE_SAN_ANTONIO","MAGDALENA",0,0.558974
"CHIVOLO","MAGDALENA",9,0.56428
"CIENAGA","MAGDALENA",119,0.611612
"CONCORDIA","MAGDALENA",0,0.568425
"EL_BANCO","MAGDALENA",0,0.584894
"EL_PINON","MAGDALENA",0,0.568231
"EL_RETEN","MAGDALENA",1,0.582691
"FUNDACION","MAGDALENA",79,0.598468
"ZAPAYAN","MAGDALENA",0,0.561794
"GUAMAL","MAGDALENA",0,0.61825
"PEDRAZA","MAGDALENA",0,0.56712
"NUEVA_GRANADA","MAGDALENA",0,0.55461
"PIJINO_DEL_CARMEN","MAGDALENA",0,0.58763
"PIVIJAY","MAGDALENA",1,0.573843
"PLATO","MAGDALENA",22,0.559179
"PUEBLOVIEJO","MAGDALENA",0,0.552991
"REMOLINO","MAGDALENA",0,0.563046
"SALAMINA","MAGDALENA",19,0.591633
"SAN_SEBASTIAN_DE_MARIQUITA","TOLIMA",0,0.622875
"SAN_SEBASTIAN_DE_BUENAVISTA","MAGDALENA",0,0.591175
"SAN_ZENON","MAGDALENA",0,0.568003
"SABANAS_DE_SAN_ANGEL","MAGDALENA",0,0.52715
"ZONA_BANANERA","MAGDALENA",0,0.585873
"SANTA_ANA","MAGDALENA",0,0.582331
"SANTA_BARBARA_DE_PINTO","MAGDALENA",0,0.576292
"SITIONUEVO","MAGDALENA",0,0.547056
"TENERIFE","MAGDALENA",7,0.569081
"VILLAVICENCIO","META",27,0.668111
"ACACIAS","META",24,0.645853
"BARRANCA_DE_UPIA","META",0,0.671757
"CABUYARO","META",0,0.696997
"CASTILLA_LA_NUEVA","META",2,0.720948
"CUBARRAL","META",19,0.62365
"CUMARAL","META",8,0.658924
"EL_CALVARIO","META",13,0.616224
"EL_CASTILLO","META",85,0.609478
"EL_DORADO","META",11,0.626902
"FUENTE_DE_ORO","META",3,0.62849
"GRANADA","META",15,0.638388
"GUAMAL","META",10,0.61825
"MAPIRIPAN","META",114,0.538318
"MESETAS","META",275,0.608707
"LA_MACARENA","META",342,0.618389
"URIBE","META",405,0.565538
"LEJANIAS","META",99,0.604708
"PUERTO_CONCORDIA","META",43,0.555326
"PUERTO_GAITAN","META",16,0.600249
"PUERTO_LOPEZ","META",3,0.653745
"PUERTO_LERAS","META",57,0.58703
"PUERTO_RICO","META",311,0.599375
"RESTREPO","META",8,0.639717
"SAN_CARLOS_DE_GUAROA","META",0,0.693212
"SAN_JUAN_DE_ARAMA","META",54,0.614054
"SAN_JUANITO","META",17,0.604759
"SAN_MARTIN","META",196,0.60934
"VISTAHERMOSA","META",498,0.589439
"ALDANA","NARINO",1,0.61591
"MALLAMA","NARINO",1,0.58868
"ALBAN","NARINO",1,0.60849
"ANCUYA","NARINO",1,0.594671
"BARBACOAS","NARINO",74,0.567841
"BELEN","NARINO",1,0.624029
"COLON","NARINO",1,0.613814
"ARBOLEDA","NARINO",1,0.556254
"BUESACO","NARINO",3,0.582019
"CUASPUD","NARINO",3,0.593565
"CONSACA","NARINO",0,0.584441
"CONTADERO","NARINO",0,0.617679
"CORDOBA","NARINO",4,0.588856
"ROBERTO_PAYAN","NARINO",4,0.516155
"CUMBAL","NARINO",24,0.588256
"CUMBITARA","NARINO",13,0.584114
"CHACHAGUI","NARINO",1,0.607091
"EL_CHARCO","NARINO",18,0.522201
"EL_PENOL","NARINO",0,0.587519
"EL_ROSARIO","NARINO",11,0.564334
"EL_TABLON_DE_GOMEZ","NARINO",11,0.606519
"EL_TAMBO","NARINO",3,0.584398
"FUNES","NARINO",1,0.572416
"GUACHUCAL","NARINO",1,0.596639
"GUAITARILLA","NARINO",1,0.605052
"GUALMATAN","NARINO",0,0.614545
"ILES","NARINO",0,0.603478
"IMUES","NARINO",1,0.635999
"IPIALES","NARINO",62,0.635505
"LA_CRUZ","NARINO",13,0.579458
"SANTACRUZ","NARINO",13,0.592041
"LA_FLORIDA","NARINO",1,0.591752
"LA_LLANADA","NARINO",7,0.602796
"PASTO","NARINO",2,0.655487
"LA_TOLA","NARINO",2,0.586295
"LA_UNION","NARINO",1,0.616141
"LEIVA","NARINO",9,0.565731
"LINARES","NARINO",1,0.58014
"LOS_ANDES","NARINO",1,0.587363
"MOSQUERA","NARINO",1,0.648572
"NARINO","NARINO",2,0.608869
"OLAYA_HERRERA","NARINO",3,0.531234
"OSPINA","NARINO",1,0.603665
"FRANCISCO_PIZARRO","NARINO",0,0.566298
"POLICARPA","NARINO",45,0.584848
"POTOSI","NARINO",7,0.598024
"PROVIDENCIA","NARINO",1,0.606951
"PUERRES","NARINO",7,0.631144
"PUPIALES","NARINO",0,0.615111
"RICAURTE","NARINO",73,0.729293
"SAMANIEGO","NARINO",39,0.586692
"SANDONA","NARINO",1,0.591235
"SAN_BERNARDO","NARINO",0,0.604382
"SANTA_BARBARA","NARINO",0,0.59621
"SAN_LORENZO","NARINO",0,0.588292
"SAN_PABLO","NARINO",16,0.580285
"SAN_PEDRO_DE_CARTAGO","NARINO",0,0.584394
"SAN_ANDRES_DE_TUMACO","NARINO",0,0.595003
"SAPUYES","NARINO",0,0.604949
"TAMINANGO","NARINO",3,0.588578
"MAGUI","NARINO",5,0.551783
"TANGUA","NARINO",5,0.590339
"TUQUERRES","NARINO",3,0.606094
"YACUANQUER","NARINO",2,0.595001
"CUCUTA","NORTE_DE_SANTANDER",19,0.655078
"ABREGO","NORTE_DE_SANTANDER",16,0.553445
"ARBOLEDAS","NORTE_DE_SANTANDER",26,0.5939
"BOCHALEMA","NORTE_DE_SANTANDER",4,0.615533
"BUCARASICA","NORTE_DE_SANTANDER",23,0.560116
"CACOTA","NORTE_DE_SANTANDER",0,0.617621
"CACHIRA","NORTE_DE_SANTANDER",2,0.5843
"CHINACOTA","NORTE_DE_SANTANDER",0,0.618672
"CHITAGA","NORTE_DE_SANTANDER",29,0.592807
"CONVENCION","NORTE_DE_SANTANDER",39,0.548892
"CONVENCION","NORTE_DE_SANTANDER",39,0.548892
"CUCUTILLA","NORTE_DE_SANTANDER",12,0.580499
"DURANIA","NORTE_DE_SANTANDER",11,0.598695
"EL_CARMEN","NORTE_DE_SANTANDER",36,0.852175
"EL_CARMEN","NORTE_DE_SANTANDER",36,0.852175
"EL_TARRA","NORTE_DE_SANTANDER",100,0.520477
"EL_ZULIA","NORTE_DE_SANTANDER",7,0.591241
"GRAMALOTE","NORTE_DE_SANTANDER",0,0.608871
"HACARI","NORTE_DE_SANTANDER",58,0.518554
"HERRAN","NORTE_DE_SANTANDER",12,0.605337
"LABATECA","NORTE_DE_SANTANDER",2,0.597599
"LA_ESPERANZA","NORTE_DE_SANTANDER",1,0.578641
"LA_PLAYA","NORTE_DE_SANTANDER",9,0.533768
"LOS_PATIOS","NORTE_DE_SANTANDER",3,0.63611
"LOURDES","NORTE_DE_SANTANDER",0,0.589068
"MUTISCUA","NORTE_DE_SANTANDER",0,0.625393
"OCANA","NORTE_DE_SANTANDER",26,0.602001
"PAMPLONA","NORTE_DE_SANTANDER",4,0.660191
"PAMPLONITA","NORTE_DE_SANTANDER",2,0.608258
"PUERTO_SANTANDER","NORTE_DE_SANTANDER",4,0.578538
"RAGONVALIA","NORTE_DE_SANTANDER",7,0.60606
"SALAZAR","NORTE_DE_SANTANDER",65,0.591189
"SAN_CALIXTO","NORTE_DE_SANTANDER",3,0.522143
"SAN_CAYETANO","NORTE_DE_SANTANDER",3,0.626766
"SANTIAGO","NORTE_DE_SANTANDER",39,0.597051
"SARDINATA","NORTE_DE_SANTANDER",3,0.572297
"SILOS","NORTE_DE_SANTANDER",5,0.588796
"TEORAMA","NORTE_DE_SANTANDER",99,0.527955
"TEORAMA","NORTE_DE_SANTANDER",99,0.527955
"TIBU","NORTE_DE_SANTANDER",149,0.560586
"TIBU","NORTE_DE_SANTANDER",149,0.560586
"TOLEDO","NORTE_DE_SANTANDER",35,0.622289
"VILLA_CARO","NORTE_DE_SANTANDER",4,0.562283
"VILLA_DEL_ROSARIO","NORTE_DE_SANTANDER",5,0.626156
"ARMENIA","QUINDIO",2,0.620961
"BUENAVISTA","QUINDIO",3,0.606004
"CALARCA","QUINDIO",23,0.63234
"CIRCASIA","QUINDIO",0,0.640439
"CORDOBA","QUINDIO",13,0.588856
"FILANDIA","QUINDIO",2,0.627751
"GENOVA","QUINDIO",17,0.615964
"LA_TEBAIDA","QUINDIO",0,0.618158
"MONTENEGRO","QUINDIO",0,0.615156
"PIJAO","QUINDIO",22,0.622443
"QUIMBAYA","QUINDIO",1,0.623883
"SALENTO","QUINDIO",16,0.65255
"PEREIRA","RISARALDA",13,0.691175
"APIA","RISARALDA",8,0.634043
"BALBOA","RISARALDA",1,0.612115
"BELEN_DE_UMBRIA","RISARALDA",17,0.608638
"DOSQUEBRADAS","RISARALDA",0,0.658612
"GUATICA","RISARALDA",10,0.609113
"LA_CELIA","RISARALDA",5,0.612054
"LA_VIRGINIA","RISARALDA",1,0.610603
"MARSELLA","RISARALDA",0,0.610079
"MISTRATO","RISARALDA",37,0.56756
"PUEBLO_RICO","RISARALDA",29,0.526571
"QUINCHIA","RISARALDA",16,0.598782
"SANTA_ROSA_DE_CABAL","RISARALDA",4,0.629822
"SANTUARIO","RISARALDA",10,1
"BUCARAMANGA","SANTANDER",9,0.686717
"AGUADA","SANTANDER",0,0.568489
"ALBANIA","SANTANDER",1,0.614824
"ARATOCA","SANTANDER",0,0.591093
"BARBOSA","SANTANDER",0,0.650218
"BARICHARA","SANTANDER",1,0.629047
"BARRANCABERMEJA","SANTANDER",28,0.885263
"BETULIA","SANTANDER",6,0.61895
"BOLIVAR","SANTANDER",13,0.782062
"CABRERA","SANTANDER",0,0.614198
"CALIFORNIA","SANTANDER",3,0.645629
"CAPITANEJO","SANTANDER",1,0.617796
"CARCASI","SANTANDER",0,0.602394
"CEPITA","SANTANDER",4,0.581732
"CERRITO","SANTANDER",7,0.614326
"CHARALA","SANTANDER",0,0.622765
"CHARTA","SANTANDER",11,0.605278
"CHIMA","SANTANDER",6,0.595507
"CHIPATA","SANTANDER",0,0.595621
"CIMITARRA","SANTANDER",15,0.636339
"CONCEPCION","SANTANDER",5,0.613112
"CONFINES","SANTANDER",0,0.623159
"CONTRATACION","SANTANDER",0,0.612505
"COROMORO","SANTANDER",5,0.602259
"CURITI","SANTANDER",1,0.60045
"EL_CARMEN_DE_CHUCURI","SANTANDER",1,0.608823
"EL_GUACAMAYO","SANTANDER",0,0.600515
"EL_PENON","SANTANDER",9,0.567257
"EL_PLAYON","SANTANDER",22,0.588189
"ENCINO","SANTANDER",1,0.628593
"ENCISO","SANTANDER",0,0.615835
"FLORIAN","SANTANDER",2,0.584789
"FLORIDABLANCA","SANTANDER",3,0.65851
"GALAN","SANTANDER",5,0.617514
"GAMBITA","SANTANDER",0,0.585903
"GIRON","SANTANDER",0,0.645007
"GUACA","SANTANDER",0,0.616575
"GUADALUPE","SANTANDER",0,0.613361
"GUAPOTA","SANTANDER",2,0.650885
"GUAVATA","SANTANDER",0,0.592327
"GUEPSA","SANTANDER",4,0.607619
"HATO","SANTANDER",2,0.601506
"JESUS_MARIA","SANTANDER",2,0.607523
"JORDAN","SANTANDER",2,0.560867
"LA_BELLEZA","SANTANDER",3,0.594538
"LANDAZURI","SANTANDER",20,0.569234
"LA_PAZ","SANTANDER",1,0.595321
"LEBRIJA","SANTANDER",15,0.625361
"LOS_SANTOS","SANTANDER",0,0.599656
"MACARAVITA","SANTANDER",0,0.590844
"MALAGA","SANTANDER",1,0.649539
"MATANZA","SANTANDER",19,0.606663
"MOGOTES","SANTANDER",0,0.603749
"MOLAGAVITA","SANTANDER",1,0.615226
"OCAMONTE","SANTANDER",0,0.595574
"OIBA","SANTANDER",0,0.618246
"ONZAGA","SANTANDER",5,0.597748
"PALMAR","SANTANDER",0,0.623006
"PALMAS_DEL_SOCORRO","SANTANDER",1,0.601047
"PARAMO","SANTANDER",0,0.627049
"PIEDECUESTA","SANTANDER",5,0.643136
"PINCHOTE","SANTANDER",0,0.631497
"PUENTE_NACIONAL","SANTANDER",2,0.627943
"PUERTO_PARRA","SANTANDER",6,0.596347
"PUERTO_WILCHES","SANTANDER",3,0.614836
"RIONEGRO","SANTANDER",18,0.677653
"SABANA_DE_TORRES","SANTANDER",37,0.6176
"SAN_ANDRES","SANTANDER",3,0.626537
"SAN_ANDRES","ARCHIPIELAGO_DE_SAN_ANDRES_Y_PROVIDENCIA",3,0.626537
"SAN_BENITO","SANTANDER",1,0.60041
"SAN_GIL","SANTANDER",1,0.659844
"SAN_JOAQUIN","SANTANDER",0,0.571988
"SAN_MIGUEL","SANTANDER",0,0.598811
"SAN_JOSE_DE_MIRANDA","SANTANDER",0,0.620736
"SAN_VICENTE_DE_CHUCURI","SANTANDER",8,0.613069
"SANTA_BARBARA","SANTANDER",1,0.59621
"SANTA_HELENA_DEL_OPON","SANTANDER",0,0.562881
"SIMACOTA","SANTANDER",8,0.585973
"SOCORRO","SANTANDER",2,0.657665
"SUAITA","SANTANDER",0,0.609481
"SUCRE","SANTANDER",8,0.572298
"SURATA","SANTANDER",33,0.611562
"TONA","SANTANDER",4,0.590495
"VALLE_DE_SAN_JOSE","SANTANDER",0,0.617114
"VELEZ","SANTANDER",4,0.591718
"VETAS","SANTANDER",0,0.629561
"VILLANUEVA","SANTANDER",0,0.600721
"ZAPATOCA","SANTANDER",11,0.61895
"SINCELEJO","SUCRE",5,0.633006
"BUENAVISTA","SUCRE",1,0.606004
"CAIMITO","SUCRE",0,0.551167
"COLOSO","SUCRE",8,0.580562
"COROZAL","SUCRE",8,0.60627
"COVENAS","SUCRE",0,0.660642
"GALERAS","SUCRE",0,0.598185
"CHALAN","SUCRE",19,0.558239
"EL_ROBLE","SUCRE",27,0.560261
"GUARANDA","SUCRE",1,0.580066
"LA_UNION","SUCRE",0,0.616141
"LOS_PALMITOS","SUCRE",19,0.592831
"MAJAGUAL","SUCRE",5,0.571763
"MORROA","SUCRE",9,0.590136
"OVEJAS","SUCRE",68,0.573322
"PALMITO","SUCRE",3,0.561712
"SAMPUES","SUCRE",1,0.578994
"SAN_LUIS_DE_SINCE","SUCRE",1,0.599325
"SAN_BENITO_ABAD","SUCRE",24,0.553203
"SAN_JUAN_DE_BETULIA","SUCRE",16,0.598698
"SAN_MARCOS","SUCRE",6,0.580333
"SANTIAGO_DE_TOLU","SUCRE",6,0.604385
"SAN_ONOFRE","SUCRE",0,0.562993
"SAN_PEDRO","SUCRE",7,0.942123
"SUCRE","SUCRE",3,0.572298
"TOLU_VIEJO","SUCRE",8,0.615487
"IBAGUE","TOLIMA",94,0.666797
"ALPUJARRA","TOLIMA",4,0.619985
"ALVARADO","TOLIMA",13,0.604291
"AMBALEMA","TOLIMA",0,0.621642
"ANZOATEGUI","TOLIMA",3,0.572783
"ARMERO_GUAYABAL","TOLIMA",28,0.62382
"ATACO","TOLIMA",49,0.583594
"CAJAMARCA","TOLIMA",0,0.593882
"CARMEN_DE_APICALA","TOLIMA",37,0.668019
"CASABIANCA","TOLIMA",1,0.570683
"CHAPARRAL","TOLIMA",2,0.592092
"COELLO","TOLIMA",129,0.608694
"COYAIMA","TOLIMA",5,0.581994
"CUNDAY","TOLIMA",12,0.601914
"DOLORES","TOLIMA",19,0.592683
"ESPINAL","TOLIMA",41,0.625125
"FALAN","TOLIMA",0,0.595295
"FLANDES","TOLIMA",5,0.631642
"FRESNO","TOLIMA",0,0.58865
"GUAMO","TOLIMA",0,0.624216
"HERVEO","TOLIMA",10,0.586932
"HONDA","TOLIMA",1,0.634703
"ICONONZO","TOLIMA",6,0.613026
"LERIDA","TOLIMA",5,0.615651
"LIBANO","TOLIMA",40,0.600903
"MELGAR","TOLIMA",0,0.706156
"MURILLO","TOLIMA",25,0.592371
"NATAGAIMA","TOLIMA",18,0.601375
"ORTEGA","TOLIMA",35,0.592235
"PALOCABILDO","TOLIMA",2,0.575937
"PIEDRAS","TOLIMA",0,0.637396
"PLANADAS","TOLIMA",163,0.577485
"PRADO","TOLIMA",12,0.622993
"PURIFICACION","TOLIMA",3,0.622911
"RIOBLANCO","TOLIMA",63,0.561482
"RONCESVALLES","TOLIMA",18,0.60018
"ROVIRA","TOLIMA",47,0.578966
"SALDANA","TOLIMA",1,0.645024
"SAN_ANTONIO","TOLIMA",43,0.593201
"SAN_LUIS","TOLIMA",3,0.600337
"SANTA_ISABEL","TOLIMA",25,0.584863
"SUAREZ","TOLIMA",24,0.603153
"VALLE_DE_SAN_JUAN","TOLIMA",0,0.584384
"VENADILLO","TOLIMA",16,0.60018
"VILLAHERMOSA","TOLIMA",17,0.588916
"VILLARRICA","TOLIMA",15,0.608504
"CALI","VALLE_DEL_CAUCA",48,0.723884
"CALIMA","VALLE_DEL_CAUCA",48,0.664148
"ALCALA","VALLE_DEL_CAUCA",0,0.603665
"ANDALUCIA","VALLE_DEL_CAUCA",0,0.640331
"ANSERMANUEVO","VALLE_DEL_CAUCA",0,0.593126
"ARGELIA","VALLE_DEL_CAUCA",2,0.588541
"BOLIVAR","VALLE_DEL_CAUCA",4,0.782062
"BUENAVENTURA","VALLE_DEL_CAUCA",28,0.649948
"GUADALAJARA_DE_BUGA","VALLE_DEL_CAUCA",12,0.6901
"BUGALAGRANDE","VALLE_DEL_CAUCA",12,0.688861
"CAICEDONIA","VALLE_DEL_CAUCA",0,0.628994
"CANDELARIA","VALLE_DEL_CAUCA",0,0.617363
"CARTAGO","VALLE_DEL_CAUCA",1,0.646055
"DAGUA","VALLE_DEL_CAUCA",48,0.630273
"ELA_AGUILA","VALLE_DEL_CAUCA",6,0.598483
"EL_CAIRO","VALLE_DEL_CAUCA",4,0.588373
"EL_CERRITO","VALLE_DEL_CAUCA",6,0.683605
"EL_DOVIO","VALLE_DEL_CAUCA",6,0.607394
"FLORIDA","VALLE_DEL_CAUCA",69,0.641784
"GINEBRA","VALLE_DEL_CAUCA",6,0.645273
"GUACARI","VALLE_DEL_CAUCA",89,0.647148
"JAMUNDI","VALLE_DEL_CAUCA",34,0.670307
"LA_UNION","VALLE_DEL_CAUCA",0,0.616141
"LA_VICTORIA","VALLE_DEL_CAUCA",1,0.412454
"OBANDO","VALLE_DEL_CAUCA",0,0.629656
"PALMIRA","VALLE_DEL_CAUCA",29,0.708917
"PRADERA","VALLE_DEL_CAUCA",35,0.63592
"RESTREPO","VALLE_DEL_CAUCA",1,0.639717
"RIOFRIO","VALLE_DEL_CAUCA",6,0.638532
"ROLDANILLO","VALLE_DEL_CAUCA",1,0.645585
"SAN_PEDRO","VALLE_DEL_CAUCA",17,0.942123
"LA_CUMBRE","VALLE_DEL_CAUCA",0,0.630121
"SEVILLA","VALLE_DEL_CAUCA",3,0.6273
"TORO","VALLE_DEL_CAUCA",0,0.617772
"TRUJILLO","VALLE_DEL_CAUCA",3,0.603081
"TULUA","VALLE_DEL_CAUCA",53,0.583193
"ULLOA","VALLE_DEL_CAUCA",0,0.623841
"VERSALLES","VALLE_DEL_CAUCA",0,0.616386
"VIJES","VALLE_DEL_CAUCA",0,0.619698
"YOTOCO","VALLE_DEL_CAUCA",0,0.641356
"YUMBO","VALLE_DEL_CAUCA",4,0.930632
"ZARZAL","VALLE_DEL_CAUCA",0,0.693031
"ARAUCA","ARAUCA",48,0.648957
"ARAUQUITA","ARAUCA",287,0.610067
"CRAVO NORTE","ARAUCA",14,0.584519
"FORTUL","ARAUCA",87,0.616128
"PUERTO_RONDON","ARAUCA",20,0.609416
"SARAVENA","ARAUCA",123,0.602632
"TAME","ARAUCA",428,0.619682
"YOPAL","CASANARE",28,0.666121
"AGUAZUL","CASANARE",81,0.681283
"CHAMEZA","CASANARE",18,0.606896
"HATO_COROZAL","CASANARE",40,0.601205
"LA_SALINA","CASANARE",10,0.608651
"MANI","CASANARE",12,0.669468
"MONTERREY","CASANARE",0,0.65795
"NUNCHIA","CASANARE",20,0.659125
"OROCUE","CASANARE",2,0.605301
"PAZ_DE_ARIPORO","CASANARE",36,0.616889
"PORE","CASANARE",15,0.620162
"RECETOR","CASANARE",14,0.625208
"SABANALARGA","CASANARE",2,0.615623
"SACAMA","CASANARE",28,0.593641
"SAN_LUIS_DE_PALENQUE","CASANARE",1,0.629356
"TAMARA","CASANARE",48,0.597975
"TAURAMENA","CASANARE",17,0.745126
"TRINIDAD","CASANARE",5,0.626111
"VILLANUEVA","CASANARE",0,0.600721
"MOCOA","PUTUMAYO",36,0.63622
"COLON","PUTUMAYO",58,0.582577
"ORITO","PUTUMAYO",24,0.62003
"PUERTO_ASIS","PUTUMAYO",64,0.615361
"PUERTO_CAICEDO","PUTUMAYO",146,0.58543
"PUERTO_GUZMAN","PUTUMAYO",138,0.568926
"PUERTO_LEGUIZAMO","PUTUMAYO",1,0.604045
"SIBUNDOY","PUTUMAYO",2,0.612325
"SAN_FRANCISCO","PUTUMAYO",3,0.597903
"SAN_MIGUEL","PUTUMAYO",61,0.598811
"SANTIAGO","PUTUMAYO",5,0.597051
"VALLE_DEL_GUAMUEZ","PUTUMAYO",84,0.599912
"VILLAGARZON","PUTUMAYO",43,0.574032
"PROVIDENCIA","ARCHIPIELAGO_DE_SAN_ANDRES_Y_PROVIDENCIA",1,0.606951
"LA_CHORRERA","AMAZONAS",2,0.617005
"EL ENCANTO","AMAZONAS",2,0.617005
"LA_PEDRERA","AMAZONAS",2,0.617005
"TARAPACA","AMAZONAS",2,0.617005
"LETICIA","AMAZONAS",2,0.658624
"LA_VICTORIA","AMAZONAS",2,0.412454
"MIRITI_-_PARANA","AMAZONAS",0,0.617005
"PUERTO_NARINO","AMAZONAS",0,0.594575
"PUERTO_SANTANDER","AMAZONAS",0,0.617005
"PUERTO_ALEGRIA","AMAZONAS",0,0.617005
"PUERTO_ARICA","AMAZONAS",0,0.617005
"INIRIDA","GUAINIA",42,0.59798
"MAPIRIPANA","GUAINIA",42,0.617005
"SAN FELIPE","GUAINIA",42,0.617005
"BARRANCO MINAS","GUAINIA",42,0.617005
"PANA PANA","GUAINIA",42,0.617005
"CACAHUAL","GUAINIA",42,0.617005
"MORICHAL","GUAINIA",42,0.617005
"SAN_JOSE_DEL_GUAVIARE","GUAVIARE",213,0.631775
"CALAMAR","GUAVIARE",115,0.58894
"EL_RETORNO","GUAVIARE",60,0.566744
"MIRAFLORES","GUAVIARE",68,0.607505
"MITU","VAUPES",21,0.630179
"CARURU","VAUPES",23,0.629618
"PAPUNAUA","VAUPES",23,0.617005
"YAVARATE","VAUPES",1,0.617005
"TARAIRA","VAUPES",1,0.849763
"PUERTO_CARRENO","VICHADA",4,0.614989
"LA_PRIMAVERA","VICHADA",5,0.595389
"SANTA_ROSALIA","VICHADA",1,0.576854
"CUMARIBO","VICHADA",0,0.542568
