"mupio","depto","accionesMilitares","IDH_1_1"
"VIGIA_DEL_FUERTE","ANTIOQUIA",11,0.575107
"YALI","ANTIOQUIA",6,0.596516
"YARUMAL","ANTIOQUIA",73,0.639336
"YOLOMBO","ANTIOQUIA",6,0.605928
"ZARAGOZA","ANTIOQUIA",35,0.565312
"BARRANQUILLA","ATLANTICO",2,1
"BARANOA","ATLANTICO",0,0.613928
"JUAN_DE_ACOSTA","ATLANTICO",0,0.625973
"CAMPO_DE_LA_CRUZ","ATLANTICO",0,0.586021
"CANDELARIA","ATLANTICO",0,0.617363
"GALAPA","ATLANTICO",0,0.617018
"LURUACO","ATLANTICO",2,0.584704
"MALAMBO","ATLANTICO",3,0.624875
"MANATI","ATLANTICO",0,0.597526
"PALMAR_DE_VARELA","ATLANTICO",1,0.600276
"PIOJO","ATLANTICO",0,0.603772
"POLONUEVO","ATLANTICO",1,0.607614
"PONEDERA","ATLANTICO",0,0.572362
"PUERTO_COLOMBIA","GUAINIA",0,0.617005
"PUERTO_COLOMBIA","ATLANTICO",0,0.703568
"REPELON","ATLANTICO",0,0.595466
"SABANAGRANDE","ATLANTICO",0,0.615114
"SABANALARGA","ATLANTICO",2,0.615623
"SANTA_LUCIA","ATLANTICO",2,0.580697
"SANTO_TOMAS","ATLANTICO",0,0.611218
"SOLEDAD","ATLANTICO",2,0.629573
"SUAN","ATLANTICO",0,0.594245
"TUBARA","ATLANTICO",1,0.629945
"USIACURI","ATLANTICO",0,0.606843
"BOGOTA_DC","BOGOTA_DC",29,0.806221
"CARTAGENA_DE_INDIAS","BOLIVAR",8,0.727467
"ACHI","BOLIVAR",8,0.574424
"ALTOS_DEL_ROSARIO","BOLIVAR",2,0.560015
"ARENAL","BOLIVAR",12,0.582646
"ARJONA","BOLIVAR",2,0.587714
"ARROYOHONDO","BOLIVAR",0,0.580043
"BARRANCO_DE_LOBA","BOLIVAR",1,0.565212
"CALAMAR","BOLIVAR",1,0.58894
"CANTAGALLO","BOLIVAR",72,0.597977
"TIQUISIO","BOLIVAR",0,0.534826
"CICUCO","BOLIVAR",0,0.559217
"CORDOBA","BOLIVAR",4,0.588856
"CLEMENCIA","BOLIVAR",5,0.578432
"EL_CARMEN_DE_BOLIVAR","BOLIVAR",113,0.559392
"EL_GUAMO","BOLIVAR",5,0.555678
"EL_PENON","BOLIVAR",0,0.567257
"HATILLO_DE_LOBA","BOLIVAR",0,0.552232
"MAGANGUE","BOLIVAR",0,0.594407
"MAHATES","BOLIVAR",7,0.585714
"MARGARITA","BOLIVAR",0,0.546162
"MARIA_LA_BAJA","BOLIVAR",4,0.573982
"MONTECRISTO","BOLIVAR",47,0.562011
"MOMPOS","BOLIVAR",1,0.589836
"MORALES","BOLIVAR",32,0.582004
"NOROSI","BOLIVAR",2,0.581752
"PINILLOS","BOLIVAR",7,0.560579
"REGIDOR","BOLIVAR",0,0.594587
"RIO_VIEJO","BOLIVAR",9,0.563329
"SAN_CRISTOBAL","BOLIVAR",0,0.602174
"SAN_ESTANISLAO","BOLIVAR",2,0.592039
"SAN_FERNANDO","BOLIVAR",0,0.564299
"SAN_JACINTO","BOLIVAR",26,0.590866
"SAN_JACINTO_DEL_CAUCA","BOLIVAR",6,0.546975
"SAN_JUAN_NEPOMUCENO","BOLIVAR",23,0.576365
"SAN_MARTIN_DE_LOBA","BOLIVAR",0,0.573926
"SAN_PABLO","BOLIVAR",87,0.580285
"SANTA_CATALINA","BOLIVAR",3,0.600234
"SANTA_ROSA","BOLIVAR",30,0.592091
"SANTA_ROSA_DE_SUR","BOLIVAR",9,0.597662
"SIMITI","BOLIVAR",21,0.583075
"SOPLAVIENTO","BOLIVAR",0,0.606517
"TALAIGUA_NUEVO","BOLIVAR",0,0.582892
"TURBACO","BOLIVAR",6,0.625227
"TURBANA","BOLIVAR",0,0.605966
"VILLANUEVA","BOLIVAR",6,0.600721
"ZAMBRANO","BOLIVAR",9,0.575958
"TUNJA","BOYACA",3,0.717696
"ALMEIDA","BOYACA",0,0.624592
"AQUITANIA","BOYACA",17,0.596724
"ARCABUCO","BOYACA",0,0.622428
"BELEN","BOYACA",2,0.624029
"BERBEO","BOYACA",0,0.614232
"BETEITIVA","BOYACA",0,0.603924
"BOAVITA","BOYACA",1,0.603309
"BOYACA","BOYACA",0,0.584584
"BRICENO","BOYACA",0,0.586269
"BUENAVISTA","BOYACA",1,0.606004
"BUSBANZA","BOYACA",0,0.611951
"CALDAS","BOYACA",0,0.63575
"CAMPOHERMOSO","BOYACA",5,0.611934
"CERINZA","BOYACA",0,0.622498
"CHINAVITA","BOYACA",4,0.610167
"CHIQUINQUIRA","BOYACA",0,0.645627
"CHISCAS","BOYACA",6,0.608123
"CHITA","BOYACA",25,0.563448
"CHITARAQUE","BOYACA",0,0.592782
"CHIVATA","BOYACA",0,0.611415
"CIENEGA","BOYACA",0,0.59707
"COMBITA","BOYACA",0,0.617939
"COPER","BOYACA",0,0.579317
"CORRALES","BOYACA",0,0.635124
"COVARACHIA","BOYACA",0,0.568059
"CUBARA","BOYACA",17,0.527483
"CUCAITA","BOYACA",0,0.609076
"CUITIVA","BOYACA",0,0.598422
"CHIQUIZA","BOYACA",0,0.592649
"CHIVOR","BOYACA",0,0.613861
"DUITAMA","BOYACA",2,0.670687
"EL_COCUY","BOYACA",3,0.616844
"EL_ESPINO","BOYACA",3,0.615291
"FIRAVITOBA","BOYACA",0,0.631108
"FLORESTA","BOYACA",0,0.601449
"GACHANTIVA","BOYACA",0,0.59445
"GAMEZA","BOYACA",2,0.609321
"GARAGOA","BOYACA",0,0.635221
"GUACAMAYAS","BOYACA",0,0.587294
"GUATEQUE","BOYACA",1,0.631955
"GUAYATA","BOYACA",4,0.602424
"GUICAN","BOYACA",5,0.52244
"IZA","BOYACA",0,0.630878
"JENESANO","BOYACA",0,0.595221
"JERICO","BOYACA",2,0.613489
"LABRANZAGRANDE","BOYACA",49,0.546467
"LA_CAPILLA","BOYACA",0,0.601406
"LA_VICTORIA","BOYACA",0,0.412454
"LA_UVITA","BOYACA",2,0.628118
"VILLA_DE_LEYVA","BOYACA",0,0.683296
"MACANAL","BOYACA",0,0.619894
"MARIPI","BOYACA",0,0.573168
"MIRAFLORES","BOYACA",0,0.607505
"MONGUA","BOYACA",11,0.592536
"MONGUI","BOYACA",0,0.621628
"MONIQUIRA","BOYACA",0,0.609802
"MOTAVITA","BOYACA",0,0.622777
"MUZO","BOYACA",0,0.593283
"NOBSA","BOYACA",0,0.876442
